,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
59,2021144,02,05,13,15,23,26,07,0元,5,"9,315,997",172,"156,831","483,556,078",2021-12-16
60,2021143,01,09,11,13,20,29,09,0元,41,"5,571,480",158,"185,369","475,857,912",2021-12-14
61,2021142,04,07,17,19,20,24,16,0元,8,"8,791,842",227,"167,041","509,166,454",2021-12-12
62,2021141,01,14,19,23,26,30,10,0元,7,"8,542,650",132,"234,834","483,132,724",2021-12-09
63,2021140,05,10,16,26,27,33,01,0元,20,"6,366,303",694,"49,218","479,975,520",2021-12-07
64,2021139,12,14,19,23,24,27,01,0元,14,"7,490,724",193,"225,842","531,219,172",2021-12-05
65,2021138,11,14,15,16,27,32,09,0元,20,"5,685,347",123,"139,298","486,491,502",2021-12-02
66,2021137,03,07,10,14,21,24,01,0元,19,"6,420,588",274,"123,134","474,456,734",2021-11-30
67,2021136,02,06,09,15,19,28,16,0元,10,"7,908,192",319,"113,957","517,068,910",2021-11-28
68,2021135,03,10,17,19,21,31,04,0元,1,"10,000,000",124,"303,985","486,663,630",2021-11-25
69,2021134,01,02,16,19,25,31,08,0元,11,"7,491,866",109,"314,340","472,467,398",2021-11-23
70,2021133,01,03,12,19,27,31,10,0元,12,"7,465,121",171,"216,238","511,607,016",2021-11-21
71,2021132,01,04,06,14,20,28,08,0元,6,"7,775,391",171,"121,727","490,071,244",2021-11-18
72,2021131,08,11,18,19,20,24,01,0元,6,"9,453,797",116,"287,961","465,860,738",2021-11-16
73,2021130,08,09,15,24,26,30,06,0元,12,"6,336,861",155,"129,373","398,037,824",2021-11-14
74,2021129,04,15,21,27,28,29,10,0元,5,"7,512,285",139,"112,962","365,299,936",2021-11-11
75,2021128,05,17,20,21,23,33,04,0元,3,"10,000,000",66,"369,015","349,441,520",2021-11-09
76,2021127,07,15,16,20,27,29,07,0元,10,"6,816,913",96,"236,577","365,976,552",2021-11-07
77,2021126,19,20,23,27,28,31,01,0元,6,"8,689,696",90,"307,474","358,964,852",2021-11-04
78,2021125,14,19,20,23,24,31,09,0元,4,"8,898,474",84,"232,052","354,978,672",2021-11-02
79,2021124,01,03,18,22,29,32,02,0元,8,"7,956,250",117,"252,670","394,848,530",2021-10-31
